FID,number,station_nu,station_na,decilat,decilong,slope,intercept,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
0,1,50434,Tulihe,50.483,121.683,-7.017543859651856e-05,0.7755087719298791,0.664,0.608,0.616,0.624,0.624,0.664,0.672,0.68,0.5680000000000001,0.6880000000000001,0.488,0.608,0.728,0.6880000000000001,0.68,0.64,0.592,0.68,0.5680000000000001
1,2,50527,Hailar,49.217,119.75,-0.0011508771929824876,2.7697122807018166,0.52,0.496,0.528,0.47200000000000003,0.47200000000000003,0.448,0.56,0.464,0.448,0.47200000000000003,0.392,0.464,0.47200000000000003,0.456,0.464,0.464,0.44,0.52,0.536
2,3,50632,Boketu,48.767,121.917,0.0006456140350876751,-0.6058385964911402,0.736,0.64,0.672,0.648,0.656,0.672,0.6880000000000001,0.72,0.6880000000000001,0.712,0.48,0.6880000000000001,0.752,0.76,0.68,0.76,0.584,0.72,0.656
3,4,50727,Keerqingyouyiqianqi,47.167,119.95,0.000378947368421033,-0.06479999999996124,0.752,0.68,0.68,0.672,0.64,0.64,0.712,0.72,0.672,0.736,0.624,0.648,0.736,0.72,0.712,0.76,0.5760000000000001,0.752,0.672
4,5,50915,Dongwuzhumuqingqi,45.517,116.967,0.002849122807017461,-5.311761403508608,0.28800000000000003,0.224,0.392,0.368,0.368,0.352,0.352,0.272,0.44,0.368,0.352,0.48,0.52,0.36,0.384,0.224,0.512,0.312,0.28800000000000003
5,8,53192,Abagaqi,44.017,114.95,0.0011228070175437748,-1.931929824561235,0.28800000000000003,0.296,0.304,0.336,0.248,0.296,0.328,0.2,0.392,0.24,0.24,0.34400000000000003,0.44,0.28800000000000003,0.352,0.224,0.424,0.28,0.248
6,16,54012,Wanggaimiao,44.583,117.6,0.001038596491228001,-1.5907929824560028,0.488,0.432,0.528,0.544,0.448,0.464,0.36,0.376,0.496,0.464,0.448,0.536,0.6,0.496,0.528,0.464,0.48,0.47200000000000003,0.44
7,17,54026,Lubei,44.567,120.9,7.017543859650352e-05,0.33143859649120366,0.376,0.464,0.512,0.464,0.512,0.496,0.512,0.4,0.496,0.48,0.48,0.48,0.536,0.368,0.536,0.448,0.496,0.544,0.352
8,18,54027,Lindong,43.983,119.4,0.0012771929824561023,-2.0767859649122054,0.456,0.432,0.504,0.40800000000000003,0.504,0.41600000000000004,0.464,0.464,0.44,0.47200000000000003,0.448,0.47200000000000003,0.512,0.512,0.488,0.52,0.464,0.496,0.384
9,19,54102,Xilinhaote,43.95,116.067,0.0019508771929823729,-3.497670175438431,0.384,0.392,0.34400000000000003,0.32,0.376,0.384,0.4,0.296,0.40800000000000003,0.352,0.376,0.47200000000000003,0.488,0.36,0.464,0.40800000000000003,0.496,0.432,0.192
10,34,54026,Jarud Qi,44.204,120.324,-0.004421052631578909,9.188842105263083,0.376,0.4,0.48,0.392,0.432,0.4,0.448,0.352,0.392,0.392,0.336,0.40800000000000003,0.464,0.296,0.384,0.432,0.28800000000000003,0.328,0.34400000000000003
11,6,52495,Bayanmaodao,40.75,104.5,-0.0005754385964912297,1.1873824561403545,0.032,0.04,0.08,0.04,0.032,0.032,0.04,0.032,0.04,0.048,0.048,0.056,0.064,0.032,0.056,0.048,0.04,0.024,0.008
12,7,53068,Erlianhaote,43.65,111.967,-0.0014736842105264358,3.0688421052633967,0.232,0.112,0.128,0.112,0.128,0.07200000000000001,0.184,0.064,0.192,0.112,0.10400000000000001,0.176,0.216,0.14400000000000002,0.16,0.12,0.16,0.10400000000000001,0.04
13,9,53276,Zhourihe,42.4,112.9,0.0034947368421052206,-6.7403368421051795,0.168,0.176,0.24,0.176,0.14400000000000002,0.16,0.328,0.128,0.24,0.16,0.232,0.28,0.328,0.312,0.232,0.14400000000000002,0.264,0.224,0.2
14,10,53336,Hailiutu,41.567,108.517,0.0028070175438596415,-5.42750877192981,0.136,0.12,0.192,0.16,0.07200000000000001,0.12,0.16,0.128,0.192,0.16,0.20800000000000002,0.20800000000000002,0.192,0.192,0.128,0.168,0.176,0.16,0.192
15,11,53352,Beilingmiao,41.7,110.433,0.004364912280701695,-8.431592982456023,0.20800000000000002,0.24,0.376,0.232,0.152,0.136,0.264,0.248,0.28,0.168,0.24,0.272,0.392,0.304,0.232,0.28800000000000003,0.328,0.224,0.336
16,12,53319,Huade,41.9,114.0,0.004224561403508679,-8.05447017543841,0.36,0.248,0.36,0.368,0.32,0.264,0.424,0.224,0.432,0.32,0.36,0.368,0.464,0.4,0.368,0.352,0.376,0.41600000000000004,0.352
17,13,53463,Hohhot,40.817,111.683,0.0014736842105262855,-2.517684210526256,0.424,0.384,0.448,0.384,0.304,0.368,0.432,0.432,0.47200000000000003,0.424,0.41600000000000004,0.424,0.52,0.464,0.376,0.448,0.392,0.4,0.4
18,20,54115,Linxi,43.6,118.067,0.003775438596491157,-7.100898245613895,0.392,0.432,0.432,0.40800000000000003,0.424,0.392,0.32,0.32,0.392,0.40800000000000003,0.34400000000000003,0.448,0.504,0.448,0.448,0.41600000000000004,0.456,0.464,0.456
19,21,54135,Tongliao,43.6,122.267,0.006680701754385982,-12.77790877192986,0.448,0.496,0.464,0.448,0.544,0.528,0.48,0.512,0.488,0.528,0.47200000000000003,0.544,0.544,0.5760000000000001,0.5760000000000001,0.616,0.528,0.608,0.544
20,22,54208,Duolun,42.183,116.467,8.421052631575402e-05,0.2664421052632284,0.448,0.376,0.432,0.424,0.448,0.368,0.432,0.424,0.496,0.44,0.41600000000000004,0.48,0.536,0.47200000000000003,0.44,0.456,0.4,0.44,0.32
21,23,54218,Chifeng,42.267,118.967,0.003677192982456124,-6.878343859649092,0.41600000000000004,0.336,0.41600000000000004,0.44,0.448,0.352,0.41600000000000004,0.448,0.47200000000000003,0.47200000000000003,0.488,0.504,0.504,0.41600000000000004,0.464,0.528,0.488,0.504,0.304
22,30,60001,Wudan,42.933,119.017,0.006470175438596391,-12.426119298245414,0.44,0.368,0.47200000000000003,0.41600000000000004,0.448,0.424,0.376,0.36,0.384,0.456,0.448,0.496,0.544,0.504,0.528,0.528,0.488,0.608,0.376
23,31,60003,Kulun,42.717,121.076,0.012505263157894684,-24.477768421052527,0.352,0.336,0.36,0.368,0.28800000000000003,0.368,0.336,0.352,0.40800000000000003,0.376,0.41600000000000004,0.488,0.464,0.47200000000000003,0.536,0.512,0.528,0.592,0.432
24,32,60004,Naiman,42.833,120.716,0.007592982456140351,-14.642680701754388,0.384,0.41600000000000004,0.41600000000000004,0.456,0.488,0.40800000000000003,0.41600000000000004,0.432,0.488,0.47200000000000003,0.47200000000000003,0.536,0.496,0.536,0.48,0.536,0.552,0.584,0.456
25,33,60005,Ganjig,42.95,122.35,0.0032140350877192716,-5.962933333333281,0.40800000000000003,0.48,0.424,0.392,0.41600000000000004,0.40800000000000003,0.448,0.352,0.4,0.432,0.4,0.456,0.48,0.48,0.48,0.456,0.432,0.504,0.44
26,14,53502,Jilantai,39.768,105.759,-0.00033684210526313947,0.6971789473683844,0.016,0.016,0.016,0.024,0.048,0.032,0.056,0.024,0.016,0.032,0.04,0.032,0.032,0.016,0.032,0.024,0.024,0.016,0.008
27,15,53529,Ketuokeqi,39.093,107.972,0.001305263157894776,-2.4072000000000777,0.10400000000000001,0.128,0.296,0.16,0.14400000000000002,0.152,0.272,0.176,0.184,0.16,0.232,0.272,0.272,0.184,0.216,0.20800000000000002,0.20800000000000002,0.14400000000000002,0.128
28,24,53723,Yanchi,37.767,107.402,-0.0005473684210526038,1.2666526315788922,0.12,0.128,0.224,0.16,0.192,0.176,0.264,0.176,0.20800000000000002,0.16,0.20800000000000002,0.152,0.2,0.176,0.192,0.184,0.184,0.136,0.12
29,25,53614,Yinchuan,38.456,106.26,-0.0030175438596490444,6.514456140350722,0.48,0.528,0.552,0.504,0.48,0.544,0.512,0.552,0.5680000000000001,0.552,0.544,0.544,0.392,0.47200000000000003,0.464,0.512,0.48,0.448,0.496
30,26,53646,Yulin,38.284,109.776,0.0006877192982456395,-1.1869333333333842,0.128,0.184,0.168,0.168,0.192,0.24,0.192,0.176,0.168,0.192,0.168,0.192,0.184,0.192,0.192,0.176,0.24,0.16,0.152
31,27,53602,Bayan Hot,38.824,105.674,0.0013333333333333602,-2.551508771929878,0.048,0.088,0.136,0.08,0.112,0.10400000000000001,0.152,0.07200000000000001,0.08,0.048,0.10400000000000001,0.128,0.14400000000000002,0.128,0.112,0.136,0.112,0.064,0.112
32,28,53705,Zhongning,37.477,105.702,-0.0038175438596490525,8.108519298245476,0.432,0.504,0.56,0.5760000000000001,0.528,0.504,0.528,0.552,0.608,0.488,0.528,0.48,0.47200000000000003,0.512,0.544,0.52,0.536,0.456,0.32
33,29,60002,Wushen,38.588,108.837,0.0004771929824561351,-0.7488280701754282,0.176,0.16,0.24,0.20800000000000002,0.2,0.20800000000000002,0.176,0.192,0.224,0.16,0.20800000000000002,0.24,0.264,0.184,0.2,0.20800000000000002,0.232,0.152,0.192
